,Variable 1,Variable 2,Correlation
675,"7. In a semester, how often are you able to control irritations in your academic / university affairs? ","4. In a semester, how often have you been feeling tired or having little energy? ",0.01612825173
676,"8. In a semester, how often you felt as if your academic performance was on top?","4. In a semester, how often have you been feeling tired or having little energy? ",0.07261544467
677,"9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ","4. In a semester, how often have you been feeling tired or having little energy? ",0.404036524
678,"10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ","4. In a semester, how often have you been feeling tired or having little energy? ",0.4312956845
679,Stress Value,"4. In a semester, how often have you been feeling tired or having little energy? ",0.463771316
680,"1. In a semester, how often have you had little interest or pleasure in doing things?","4. In a semester, how often have you been feeling tired or having little energy? ",0.219045015
681,"2. In a semester, how often have you been feeling down, depressed or hopeless?","4. In a semester, how often have you been feeling tired or having little energy? ",0.6163518788
682,"3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ","4. In a semester, how often have you been feeling tired or having little energy? ",0.5649635074
683,"4. In a semester, how often have you been feeling tired or having little energy? ","4. In a semester, how often have you been feeling tired or having little energy? ",1
684,"5. In a semester, how often have you had poor appetite or overeating? ","4. In a semester, how often have you been feeling tired or having little energy? ",0.4927799864
685,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ","4. In a semester, how often have you been feeling tired or having little energy? ",0.5690714898
686,"7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ","4. In a semester, how often have you been feeling tired or having little energy? ",0.5113321171
687,"8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ","4. In a semester, how often have you been feeling tired or having little energy? ",0.458405613
688,"9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ","4. In a semester, how often have you been feeling tired or having little energy? ",0.3920337535
689,Depression Value,"4. In a semester, how often have you been feeling tired or having little energy? ",0.749279776
690,Anxiety_is_missing,"4. In a semester, how often have you been feeling tired or having little energy? ",
691,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ","5. In a semester, how often have you had poor appetite or overeating? ",0.4152410743
692,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ","5. In a semester, how often have you had poor appetite or overeating? ",0.361505124
693,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ","5. In a semester, how often have you had poor appetite or overeating? ",0.3724125842
694,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?","5. In a semester, how often have you had poor appetite or overeating? ",0.4235949859
695,"5. In a semester, how often have you worried too much about academic affairs? ","5. In a semester, how often have you had poor appetite or overeating? ",0.4251313929
696,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?","5. In a semester, how often have you had poor appetite or overeating? ",0.4125096637
697,"7. In a semester, how often have you felt afraid, as if something awful might happen?","5. In a semester, how often have you had poor appetite or overeating? ",0.4314998084
698,Anxiety Value,"5. In a semester, how often have you had poor appetite or overeating? ",0.5150401927
699,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ","5. In a semester, how often have you had poor appetite or overeating? ",0.323674655
700,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?","5. In a semester, how often have you had poor appetite or overeating? ",0.3225151311
701,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ","5. In a semester, how often have you had poor appetite or overeating? ",0.3225180743
702,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ","5. In a semester, how often have you had poor appetite or overeating? ",0.3344700193
703,"5. In a semester, how often you felt confident about your ability to handle your academic / university problems?","5. In a semester, how often have you had poor appetite or overeating? ",0.01754871205
704,"6. In a semester, how often you felt as if things in your academic life is going on your way? ","5. In a semester, how often have you had poor appetite or overeating? ",0.08255289462
705,"7. In a semester, how often are you able to control irritations in your academic / university affairs? ","5. In a semester, how often have you had poor appetite or overeating? ",0.0433154103
706,"8. In a semester, how often you felt as if your academic performance was on top?","5. In a semester, how often have you had poor appetite or overeating? ",0.08570017861
707,"9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ","5. In a semester, how often have you had poor appetite or overeating? ",0.3196720944
708,"10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ","5. In a semester, how often have you had poor appetite or overeating? ",0.3667091382
709,Stress Value,"5. In a semester, how often have you had poor appetite or overeating? ",0.3827937668
710,"1. In a semester, how often have you had little interest or pleasure in doing things?","5. In a semester, how often have you had poor appetite or overeating? ",0.204927907
711,"2. In a semester, how often have you been feeling down, depressed or hopeless?","5. In a semester, how often have you had poor appetite or overeating? ",0.4837891343
712,"3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ","5. In a semester, how often have you had poor appetite or overeating? ",0.4930069452
713,"4. In a semester, how often have you been feeling tired or having little energy? ","5. In a semester, how often have you had poor appetite or overeating? ",0.4927799864
714,"5. In a semester, how often have you had poor appetite or overeating? ","5. In a semester, how often have you had poor appetite or overeating? ",1
715,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ","5. In a semester, how often have you had poor appetite or overeating? ",0.495373979
716,"7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ","5. In a semester, how often have you had poor appetite or overeating? ",0.4726394571
717,"8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ","5. In a semester, how often have you had poor appetite or overeating? ",0.4613064464
718,"9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ","5. In a semester, how often have you had poor appetite or overeating? ",0.4339303923
719,Depression Value,"5. In a semester, how often have you had poor appetite or overeating? ",0.7101935469
720,Anxiety_is_missing,"5. In a semester, how often have you had poor appetite or overeating? ",
721,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ","6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",0.5555603401
722,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ","6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",0.4171269038
723,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ","6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",0.4441082667
724,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?","6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",0.563925443
725,"5. In a semester, how often have you worried too much about academic affairs? ","6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",0.5762947658
726,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?","6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",0.5003386434
727,"7. In a semester, how often have you felt afraid, as if something awful might happen?","6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",0.5837128137
728,Anxiety Value,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",0.6595809266
729,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ","6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",0.4519456491
730,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?","6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",0.4700985075
731,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ","6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",0.4804334846
732,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ","6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",0.4551771107
733,"5. In a semester, how often you felt confident about your ability to handle your academic / university problems?","6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",0.08969137
734,"6. In a semester, how often you felt as if things in your academic life is going on your way? ","6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",0.1528181667
735,"7. In a semester, how often are you able to control irritations in your academic / university affairs? ","6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",0.07301744127
736,"8. In a semester, how often you felt as if your academic performance was on top?","6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",0.2091181356
737,"9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ","6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",0.4404538132
738,"10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ","6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",0.470306894
739,Stress Value,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",0.5660733433
740,"1. In a semester, how often have you had little interest or pleasure in doing things?","6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",0.2122797454
741,"2. In a semester, how often have you been feeling down, depressed or hopeless?","6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",0.6573466841
742,"3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ","6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",0.5061571484
743,"4. In a semester, how often have you been feeling tired or having little energy? ","6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",0.5690714898
744,"5. In a semester, how often have you had poor appetite or overeating? ","6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",0.495373979
745,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ","6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",1
746,"7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ","6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",0.5907296847
747,"8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ","6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",0.5099875865
748,"9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ","6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",0.5289966071
749,Depression Value,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",0.7956710581
750,Anxiety_is_missing,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",
751,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ","7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ",0.4836293586
752,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ","7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ",0.3885535117
753,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ","7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ",0.4369332194
754,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?","7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ",0.5039701008
755,"5. In a semester, how often have you worried too much about academic affairs? ","7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ",0.5131043533
756,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?","7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ",0.4512947765
757,"7. In a semester, how often have you felt afraid, as if something awful might happen?","7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ",0.4930258859
758,Anxiety Value,"7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ",0.5923352355
759,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ","7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ",0.3769878477
760,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?","7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ",0.4039841378
761,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ","7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ",0.3923726736
762,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ","7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ",0.4101927112
763,"5. In a semester, how often you felt confident about your ability to handle your academic / university problems?","7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ",0.06519614935
764,"6. In a semester, how often you felt as if things in your academic life is going on your way? ","7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ",0.144978368
765,"7. In a semester, how often are you able to control irritations in your academic / university affairs? ","7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ",0.06243672501
766,"8. In a semester, how often you felt as if your academic performance was on top?","7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ",0.1359566289
767,"9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ","7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ",0.3599818653
768,"10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ","7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ",0.4200456552
769,Stress Value,"7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ",0.4769122159
770,"1. In a semester, how often have you had little interest or pleasure in doing things?","7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ",0.2163908381
771,"2. In a semester, how often have you been feeling down, depressed or hopeless?","7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ",0.558409996
772,"3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ","7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ",0.5003617055
773,"4. In a semester, how often have you been feeling tired or having little energy? ","7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ",0.5113321171
774,"5. In a semester, how often have you had poor appetite or overeating? ","7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ",0.4726394571
775,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ","7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ",0.5907296847
776,"7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ","7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ",1
777,"8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ","7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ",0.5381514815
778,"9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ","7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ",0.4430078176
779,Depression Value,"7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ",0.7549175973
780,Anxiety_is_missing,"7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ",
781,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ","8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ",0.4282533819
782,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ","8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ",0.3249062959
783,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ","8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ",0.3717618727
784,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?","8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ",0.4474334735
785,"5. In a semester, how often have you worried too much about academic affairs? ","8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ",0.4349418917
786,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?","8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ",0.4389579905
787,"7. In a semester, how often have you felt afraid, as if something awful might happen?","8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ",0.4760576134
788,Anxiety Value,"8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ",0.5296251921
789,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ","8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ",0.3387656722
790,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?","8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ",0.3418777261
791,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ","8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ",0.3156717981
792,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ","8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ",0.2954155275
793,"5. In a semester, how often you felt confident about your ability to handle your academic / university problems?","8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ",-0.002482592129
794,"6. In a semester, how often you felt as if things in your academic life is going on your way? ","8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ",0.04196784676
795,"7. In a semester, how often are you able to control irritations in your academic / university affairs? ","8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ",0.05123546314
796,"8. In a semester, how often you felt as if your academic performance was on top?","8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ",0.0716347956
797,"9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ","8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ",0.3317077505
798,"10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ","8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ",0.333545025
799,Stress Value,"8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ",0.3658863616
800,"1. In a semester, how often have you had little interest or pleasure in doing things?","8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ",0.2176353012
801,"2. In a semester, how often have you been feeling down, depressed or hopeless?","8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ",0.5183776163
802,"3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ","8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ",0.4419978258
803,"4. In a semester, how often have you been feeling tired or having little energy? ","8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ",0.458405613
804,"5. In a semester, how often have you had poor appetite or overeating? ","8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ",0.4613064464
805,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ","8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ",0.5099875865
806,"7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ","8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ",0.5381514815
807,"8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ","8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ",1
808,"9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ","8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ",0.5001866773
809,Depression Value,"8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ",0.7265431826
810,Anxiety_is_missing,"8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ",
811,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ","9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",0.4160948364
812,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ","9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",0.2894799446
813,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ","9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",0.3185063144
814,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?","9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",0.4222471957
815,"5. In a semester, how often have you worried too much about academic affairs? ","9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",0.3896936657
816,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?","9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",0.3873049951
817,"7. In a semester, how often have you felt afraid, as if something awful might happen?","9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",0.4465198699
818,Anxiety Value,"9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",0.4837080196
819,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ","9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",0.3278724031
820,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?","9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",0.3204787637
821,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ","9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",0.2827541573
822,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ","9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",0.2984513695
823,"5. In a semester, how often you felt confident about your ability to handle your academic / university problems?","9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",0.0834189018
824,"6. In a semester, how often you felt as if things in your academic life is going on your way? ","9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",0.08850066319
825,"7. In a semester, how often are you able to control irritations in your academic / university affairs? ","9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",0.08548537054
826,"8. In a semester, how often you felt as if your academic performance was on top?","9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",0.09261785688
827,"9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ","9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",0.2947934188
828,"10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ","9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",0.2880380053
829,Stress Value,"9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",0.3711579001
830,"1. In a semester, how often have you had little interest or pleasure in doing things?","9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",0.218945655
831,"2. In a semester, how often have you been feeling down, depressed or hopeless?","9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",0.5167593161
832,"3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ","9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",0.3858626318
833,"4. In a semester, how often have you been feeling tired or having little energy? ","9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",0.3920337535
834,"5. In a semester, how often have you had poor appetite or overeating? ","9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",0.4339303923
835,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ","9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",0.5289966071
836,"7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ","9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",0.4430078176
837,"8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ","9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",0.5001866773
838,"9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ","9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",1
839,Depression Value,"9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",0.7000857815
840,Anxiety_is_missing,"9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",
841,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",Depression Value,0.6276240931
842,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",Depression Value,0.4921706666
843,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ",Depression Value,0.5549053327
844,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",Depression Value,0.6422835408
845,"5. In a semester, how often have you worried too much about academic affairs? ",Depression Value,0.6429354274
846,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",Depression Value,0.6117454482
847,"7. In a semester, how often have you felt afraid, as if something awful might happen?",Depression Value,0.6662587111
848,Anxiety Value,Depression Value,0.7678789341
849,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ",Depression Value,0.4968711128
850,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?",Depression Value,0.5100177829
851,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ",Depression Value,0.5022608513
852,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ",Depression Value,0.5024313778
853,"5. In a semester, how often you felt confident about your ability to handle your academic / university problems?",Depression Value,0.04414970444
854,"6. In a semester, how often you felt as if things in your academic life is going on your way? ",Depression Value,0.1243185148
855,"7. In a semester, how often are you able to control irritations in your academic / university affairs? ",Depression Value,0.0585796893
856,"8. In a semester, how often you felt as if your academic performance was on top?",Depression Value,0.1358195425
857,"9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ",Depression Value,0.483245071
858,"10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",Depression Value,0.5221349999
859,Stress Value,Depression Value,0.5829314684
860,"1. In a semester, how often have you had little interest or pleasure in doing things?",Depression Value,0.4226318887
861,"2. In a semester, how often have you been feeling down, depressed or hopeless?",Depression Value,0.8083713905
862,"3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ",Depression Value,0.7295886628
863,"4. In a semester, how often have you been feeling tired or having little energy? ",Depression Value,0.749279776
864,"5. In a semester, how often have you had poor appetite or overeating? ",Depression Value,0.7101935469
865,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ",Depression Value,0.7956710581
866,"7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ",Depression Value,0.7549175973
867,"8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ",Depression Value,0.7265431826
868,"9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",Depression Value,0.7000857815
869,Depression Value,Depression Value,1
870,Anxiety_is_missing,Depression Value,
871,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",Anxiety_is_missing,
872,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",Anxiety_is_missing,
873,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ",Anxiety_is_missing,
874,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",Anxiety_is_missing,
875,"5. In a semester, how often have you worried too much about academic affairs? ",Anxiety_is_missing,
