,1  Age,2  Gender,3  University,4  Department,5  Academic Year,6  Current CGPA,7  Did you receive a waiver or scholarship at your university?," 1  In a semester, how often you felt nervous, anxious or on edge due to academic pressure?  "," 2  In a semester, how often have you been unable to stop worrying about your academic affairs?  "," 3  In a semester, how often have you had trouble relaxing due to academic pressure?  "," 4  In a semester, how often have you been easily annoyed or irritated because of academic pressure? "," 5  In a semester, how often have you worried too much about academic affairs?  "," 6  In a semester, how often have you been so restless due to academic pressure that it is hard to sit still? "," 7  In a semester, how often have you felt afraid, as if something awful might happen? ",Anxiety Value,Anxiety Label," 1  In a semester, how often have you felt upset due to something that happened in your academic affairs?  "," 2  In a semester, how often you felt as if you were unable to control important things in your academic affairs? "," 3  In a semester, how often you felt nervous and stressed because of academic pressure?  "," 4  In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e g, assignments, quiz, exams)  "," 5  In a semester, how often you felt confident about your ability to handle your academic / university problems? "," 6  In a semester, how often you felt as if things in your academic life is going on your way?  "," 7  In a semester, how often are you able to control irritations in your academic / university affairs?  "," 8  In a semester, how often you felt as if your academic performance was on top? "," 9  In a semester, how often you got angered due to bad performance or low grades that is beyond your control?  "," 10  In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them?  ",Stress Value,Stress Label," 1  In a semester, how often have you had little interest or pleasure in doing things? "," 2  In a semester, how often have you been feeling down, depressed or hopeless? "," 3  In a semester, how often have you had trouble falling or staying asleep, or sleeping too much?  "," 4  In a semester, how often have you been feeling tired or having little energy?  "," 5  In a semester, how often have you had poor appetite or overeating?  "," 6  In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down?  "," 7  In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television?  "," 8  In a semester, how often have you moved or spoke too slowly for other people to notice? Or youve been moving a lot more than usual because youve been restless?  "," 9  In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself?  ",Depression Value,Depression Label,Anxiety_is_missing
1643,18-22,Male,DU,Biological Sciences,Third Year or Equivalent,3.40 - 3.79,No,0,0,0,0,0,0,0,0,Minimal Anxiety,0,0,0,0,4,4,4,3,0,0,15,Moderate Stress,0,0,0,0,0,0,0,0,0,0,No Depression,FALSE
1644,18-22,Female,IUT,Engineering - Mechanical Engineering / Similar to ME,First Year or Equivalent,Other,No,3,0,3,3,3,3,3,18,Severe Anxiety,4,4,4,4,3,3,4,3,4,4,37,High Perceived Stress,3,3,3,3,3,3,3,3,3,27,Severe Depression,FALSE
1645,23-26,Male,IUB,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,Below 2.50,No,2,3,0,0,0,0,0,5,Mild Anxiety,3,3,3,3,1,1,1,1,3,3,22,Moderate Stress,0,0,0,0,0,0,0,0,0,0,No Depression,FALSE
1646,18-22,Male,IUT,Engineering - EEE/ ECE / Similar to EEE,First Year or Equivalent,Other,No,1,0,2,3,3,2,1,12,Moderate Anxiety,3,4,4,4,0,3,2,4,4,4,32,High Perceived Stress,0,3,2,3,2,0,3,3,1,17,Moderately Severe Depression,FALSE
1647,23-26,Female,IUT,Engineering - EEE/ ECE / Similar to EEE,Third Year or Equivalent,3.40 - 3.79,No,2,2,2,2,3,3,2,16,Severe Anxiety,4,3,4,4,3,3,3,2,4,4,34,High Perceived Stress,3,3,2,3,2,0,1,1,2,17,Moderately Severe Depression,FALSE
1648,23-26,Male,IUT,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,Below 2.50,No,3,3,1,1,3,3,3,17,Severe Anxiety,4,4,4,2,3,2,3,3,4,4,33,High Perceived Stress,2,3,3,3,3,3,3,3,3,26,Severe Depression,FALSE
1649,18-22,Male,IUT,Engineering - EEE/ ECE / Similar to EEE,First Year or Equivalent,3.80 - 4.00,Yes,2,1,1,2,1,1,2,10,Moderate Anxiety,3,2,3,2,2,3,1,2,2,3,23,Moderate Stress,1,1,2,3,2,1,2,1,0,13,Moderate Depression,FALSE
1650,18-22,Female,IUT,Engineering - EEE/ ECE / Similar to EEE,First Year or Equivalent,Other,No,3,3,3,3,3,3,3,21,Severe Anxiety,4,4,4,4,0,4,3,4,4,4,35,High Perceived Stress,3,3,3,3,3,3,3,3,3,27,Severe Depression,FALSE
1651,18-22,Female,IUT,Engineering - EEE/ ECE / Similar to EEE,First Year or Equivalent,Other,Yes,3,3,3,2,3,3,3,20,Severe Anxiety,2,3,4,4,2,2,3,3,4,4,31,High Perceived Stress,1,2,3,3,2,3,2,1,1,18,Moderately Severe Depression,FALSE
1652,27-30,Female,IUT,Other,Second Year or Equivalent,Other,Yes,3,3,3,3,2,3,3,20,Severe Anxiety,4,3,4,2,2,3,3,4,4,4,33,High Perceived Stress,2,3,3,3,3,2,2,2,2,22,Severe Depression,FALSE
1653,18-22,Male,IUT,Engineering - EEE/ ECE / Similar to EEE,First Year or Equivalent,Other,Yes,2,2,2,2,1,1,2,12,Moderate Anxiety,4,3,4,3,3,3,2,4,3,3,32,High Perceived Stress,1,2,2,2,1,2,2,1,1,14,Moderate Depression,FALSE
1654,18-22,Male,IUT,Engineering - EEE/ ECE / Similar to EEE,First Year or Equivalent,Other,No,1,1,0,2,1,3,1,9,Mild Anxiety,2,3,4,3,3,2,2,4,2,4,29,High Perceived Stress,2,1,3,2,1,1,0,0,0,10,Moderate Depression,FALSE
1655,18-22,Female,IUT,Engineering - Civil Engineering / Similar to CE,First Year or Equivalent,Other,No,3,2,2,2,3,3,3,18,Severe Anxiety,3,3,4,3,2,3,3,3,3,3,30,High Perceived Stress,1,3,2,2,2,1,1,1,0,13,Moderate Depression,FALSE
1656,18-22,Male,IUT,Engineering - Mechanical Engineering / Similar to ME,First Year or Equivalent,Other,Yes,1,3,2,2,2,1,1,12,Moderate Anxiety,2,3,4,4,0,2,1,1,2,3,22,Moderate Stress,2,2,2,1,0,1,2,1,1,12,Moderate Depression,FALSE
1657,18-22,Male,IUT,Engineering - EEE/ ECE / Similar to EEE,Second Year or Equivalent,3.80 - 4.00,No,3,1,2,2,2,1,1,12,Moderate Anxiety,2,3,3,4,1,3,3,3,3,4,29,High Perceived Stress,2,1,2,2,3,1,2,2,1,16,Moderately Severe Depression,FALSE
1658,23-26,Male,IUT,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,3.40 - 3.79,No,3,3,3,3,3,3,3,21,Severe Anxiety,4,4,4,4,3,3,3,4,0,4,33,High Perceived Stress,1,3,3,3,2,3,2,1,3,21,Severe Depression,FALSE
1659,18-22,Female,IUT,Engineering - CS / CSE / CSC / Similar to CS,Second Year or Equivalent,3.40 - 3.79,Yes,3,3,3,3,3,0,3,18,Severe Anxiety,4,4,4,4,4,4,3,4,4,4,39,High Perceived Stress,1,3,3,3,1,3,3,0,3,20,Severe Depression,FALSE
1660,23-26,Male,IUT,Engineering - CS / CSE / CSC / Similar to CS,Fourth Year or Equivalent,3.00 - 3.39,Yes,0,2,2,2,0,1,2,9,Mild Anxiety,1,2,1,2,1,0,0,3,4,3,17,Moderate Stress,1,2,1,2,2,2,1,2,1,14,Moderate Depression,FALSE
1661,18-22,Female,IUT,Business and Entrepreneurship Studies,Second Year or Equivalent,3.00 - 3.39,No,2,3,2,2,3,2,2,16,Severe Anxiety,4,4,4,4,3,3,2,4,4,4,36,High Perceived Stress,1,2,3,3,3,2,1,1,2,18,Moderately Severe Depression,FALSE
1662,18-22,Female,IUT,Engineering - Civil Engineering / Similar to CE,Second Year or Equivalent,3.40 - 3.79,No,1,3,3,1,3,3,1,15,Severe Anxiety,2,2,2,2,2,4,2,4,2,2,24,Moderate Stress,1,1,3,3,3,3,3,1,0,18,Moderately Severe Depression,FALSE
1663,18-22,Female,IUT,Engineering - EEE/ ECE / Similar to EEE,First Year or Equivalent,2.50 - 2.99,No,3,1,3,3,3,3,3,19,Severe Anxiety,4,1,4,3,3,3,1,4,0,4,27,High Perceived Stress,3,3,2,3,1,3,2,1,3,21,Severe Depression,FALSE
1664,18-22,Male,IUT,Engineering - EEE/ ECE / Similar to EEE,First Year or Equivalent,Other,No,2,3,1,3,3,1,3,16,Severe Anxiety,4,4,4,4,0,3,4,4,4,4,35,High Perceived Stress,1,3,3,1,3,3,0,3,3,20,Severe Depression,FALSE
1665,Above 30,Male,IUT,Other,First Year or Equivalent,3.00 - 3.39,Yes,2,1,2,2,3,2,2,14,Moderate Anxiety,1,1,0,0,2,3,3,2,1,0,13,Low Stress,1,2,2,2,2,2,0,0,1,12,Moderate Depression,FALSE
1666,18-22,Male,IUT,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,3.80 - 4.00,Yes,3,3,3,2,3,2,1,17,Severe Anxiety,3,3,4,4,2,3,2,2,3,4,30,High Perceived Stress,1,2,3,2,2,3,3,1,0,17,Moderately Severe Depression,FALSE
1667,18-22,Male,IUT,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,3.00 - 3.39,No,3,3,0,3,3,3,1,16,Severe Anxiety,3,4,4,4,1,4,3,2,4,4,33,High Perceived Stress,0,3,3,3,2,2,3,0,0,16,Moderately Severe Depression,FALSE
1668,23-26,Male,IUT,Engineering - EEE/ ECE / Similar to EEE,Fourth Year or Equivalent,Below 2.50,Yes,2,2,2,2,2,2,2,14,Moderate Anxiety,2,2,2,2,4,4,3,4,2,2,27,High Perceived Stress,2,2,2,2,2,2,2,2,2,18,Moderately Severe Depression,FALSE
1669,18-22,Male,IUT,Engineering - Mechanical Engineering / Similar to ME,First Year or Equivalent,Other,No,3,3,2,3,3,3,3,20,Severe Anxiety,4,4,4,2,3,4,3,3,2,4,33,High Perceived Stress,0,3,3,3,3,3,3,3,3,24,Severe Depression,FALSE
1670,23-26,Male,IUT,Engineering - Civil Engineering / Similar to CE,Fourth Year or Equivalent,3.00 - 3.39,No,1,1,1,1,1,1,1,7,Mild Anxiety,2,2,3,3,2,2,2,3,2,2,23,Moderate Stress,1,1,1,1,1,1,1,1,1,9,Mild Depression,FALSE
1671,18-22,Female,IUT,Engineering - Mechanical Engineering / Similar to ME,Second Year or Equivalent,3.00 - 3.39,No,3,3,3,3,3,3,3,21,Severe Anxiety,4,4,4,4,3,4,1,2,4,4,34,High Perceived Stress,1,3,3,3,3,3,3,3,2,24,Severe Depression,FALSE
1672,23-26,Male,AIUB,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,3.40 - 3.79,No,1,2,1,1,1,2,1,9,Mild Anxiety,2,2,2,1,2,1,2,2,2,2,18,Moderate Stress,2,1,1,1,0,1,1,0,0,7,Mild Depression,FALSE
1673,18-22,Male,IUT,Engineering - EEE/ ECE / Similar to EEE,First Year or Equivalent,Other,No,1,1,1,2,2,2,2,11,Moderate Anxiety,2,1,3,2,3,2,3,2,2,2,22,Moderate Stress,1,2,0,1,1,3,2,0,0,10,Moderate Depression,FALSE
1674,18-22,Male,IUT,Engineering - EEE/ ECE / Similar to EEE,First Year or Equivalent,3.00 - 3.39,No,2,1,1,3,2,2,3,14,Moderate Anxiety,4,3,4,2,2,2,2,4,2,2,27,High Perceived Stress,1,2,0,2,1,3,1,1,0,11,Moderate Depression,FALSE
1675,18-22,Male,IUT,Engineering - Mechanical Engineering / Similar to ME,First Year or Equivalent,3.00 - 3.39,No,2,2,2,2,1,2,3,14,Moderate Anxiety,3,3,2,3,3,2,2,3,3,4,28,High Perceived Stress,0,2,2,2,2,2,3,2,0,15,Moderately Severe Depression,FALSE
1676,18-22,Male,IUT,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,3.40 - 3.79,No,3,2,2,1,3,3,3,17,Severe Anxiety,4,3,4,4,3,3,2,1,4,4,32,High Perceived Stress,1,2,2,3,2,2,3,2,2,19,Moderately Severe Depression,FALSE
1677,18-22,Male,IUT,Engineering - Mechanical Engineering / Similar to ME,Second Year or Equivalent,3.40 - 3.79,No,1,0,1,1,0,0,0,3,Minimal Anxiety,2,2,3,2,1,2,2,2,2,2,20,Moderate Stress,1,2,1,1,1,1,0,0,1,8,Mild Depression,FALSE
1678,18-22,Female,IUT,Engineering - EEE/ ECE / Similar to EEE,Second Year or Equivalent,3.80 - 4.00,No,2,1,3,2,3,1,3,15,Severe Anxiety,4,4,4,2,2,2,2,2,3,4,29,High Perceived Stress,0,2,1,1,1,1,3,3,0,12,Moderate Depression,FALSE
1679,18-22,Female,IUB,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,2.50 - 2.99,No,1,1,1,2,2,3,2,12,Moderate Anxiety,0,2,2,2,2,1,2,4,3,3,21,Moderate Stress,2,2,1,2,3,3,0,0,3,16,Moderately Severe Depression,FALSE
1680,23-26,Male,DUET,Engineering - CS / CSE / CSC / Similar to CS,Fourth Year or Equivalent,3.40 - 3.79,No,1,2,1,1,1,2,1,9,Mild Anxiety,1,1,3,3,2,1,1,2,3,1,18,Moderate Stress,1,1,2,2,1,1,1,2,1,12,Moderate Depression,FALSE
1681,23-26,Male,DUET,Engineering - CS / CSE / CSC / Similar to CS,Fourth Year or Equivalent,3.40 - 3.79,No,1,1,0,1,1,0,0,4,Minimal Anxiety,1,0,2,1,1,1,2,1,1,1,11,Low Stress,1,0,0,1,0,1,1,1,0,5,Mild Depression,FALSE
1682,23-26,Male,DUET,Engineering - CS / CSE / CSC / Similar to CS,Fourth Year or Equivalent,3.00 - 3.39,No,1,0,1,1,1,1,0,5,Mild Anxiety,1,0,2,2,1,4,2,4,2,2,20,Moderate Stress,2,1,0,1,1,1,1,0,0,7,Mild Depression,FALSE
1683,23-26,Male,IUT,Engineering - CS / CSE / CSC / Similar to CS,Fourth Year or Equivalent,2.50 - 2.99,No,3,3,3,3,3,3,3,21,Severe Anxiety,4,4,4,4,4,4,4,4,4,4,40,High Perceived Stress,3,3,3,3,3,3,3,3,2,26,Severe Depression,FALSE
1684,18-22,Male,IUT,Engineering - EEE/ ECE / Similar to EEE,First Year or Equivalent,Other,No,2,2,2,3,2,1,3,15,Severe Anxiety,3,2,3,4,2,4,1,4,2,4,29,High Perceived Stress,2,1,0,3,0,3,2,0,1,12,Moderate Depression,FALSE
1685,18-22,Male,AIUB,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,3.00 - 3.39,No,3,3,3,3,3,3,3,21,Severe Anxiety,2,2,2,2,2,2,2,2,2,2,20,Moderate Stress,1,1,1,1,1,1,1,1,1,9,Mild Depression,FALSE
1686,18-22,Male,IUT,Engineering - Mechanical Engineering / Similar to ME,First Year or Equivalent,Other,No,3,3,3,3,3,3,2,20,Severe Anxiety,3,3,4,4,3,4,0,4,3,4,32,High Perceived Stress,1,3,3,2,1,3,2,2,2,19,Moderately Severe Depression,FALSE
1687,23-26,Male,AIUB,Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,2.50 - 2.99,No,0,0,0,0,0,0,0,0,Minimal Anxiety,2,1,1,0,4,4,4,4,0,0,20,Moderate Stress,1,0,0,1,2,1,2,2,1,10,Moderate Depression,FALSE
1688,23-26,Male,DUET,Engineering - CS / CSE / CSC / Similar to CS,Fourth Year or Equivalent,3.00 - 3.39,Yes,2,3,2,2,2,3,2,16,Severe Anxiety,4,3,4,4,0,0,0,1,3,3,22,Moderate Stress,2,0,0,2,2,3,1,2,2,14,Moderate Depression,FALSE
1689,23-26,Female,DUET,Engineering - CS / CSE / CSC / Similar to CS,Fourth Year or Equivalent,3.40 - 3.79,No,2,2,2,2,2,2,2,14,Moderate Anxiety,1,0,2,1,2,2,3,2,2,0,15,Moderate Stress,1,1,2,2,2,0,1,2,0,11,Moderate Depression,FALSE
1690,23-26,Female,DUET,Engineering - CS / CSE / CSC / Similar to CS,Second Year or Equivalent,3.00 - 3.39,Yes,0,0,0,0,1,0,1,2,Minimal Anxiety,2,2,2,2,2,2,2,2,2,0,18,Moderate Stress,1,1,0,0,0,0,1,1,0,4,Minimal Depression,FALSE
1691,23-26,Male,DUET,Engineering - CS / CSE / CSC / Similar to CS,Second Year or Equivalent,2.50 - 2.99,Yes,1,1,2,2,3,2,2,13,Moderate Anxiety,1,1,2,2,1,1,1,2,3,2,16,Moderate Stress,1,2,0,3,0,3,2,3,1,15,Moderately Severe Depression,FALSE
1692,23-26,Female,DUET,Engineering - CS / CSE / CSC / Similar to CS,Second Year or Equivalent,2.50 - 2.99,No,1,1,3,2,1,2,2,12,Moderate Anxiety,0,2,3,2,3,2,2,1,3,1,19,Moderate Stress,1,2,2,2,2,2,2,1,1,15,Moderately Severe Depression,FALSE
1693,23-26,Male,DUET,Engineering - CS / CSE / CSC / Similar to CS,Second Year or Equivalent,2.50 - 2.99,No,1,0,1,2,2,1,2,9,Mild Anxiety,0,0,0,2,2,2,4,2,2,2,16,Moderate Stress,1,2,2,2,2,2,1,1,2,15,Moderately Severe Depression,FALSE
1694,18-22,Female,IUT,Engineering - EEE/ ECE / Similar to EEE,First Year or Equivalent,Other,No,2,1,2,2,1,1,1,10,Moderate Anxiety,2,2,2,2,2,3,2,4,2,2,23,Moderate Stress,2,1,1,1,1,3,1,1,0,11,Moderate Depression,FALSE
1695,23-26,Male,IUB,Environmental and Life Sciences,Fourth Year or Equivalent,2.50 - 2.99,No,1,1,2,2,2,2,2,12,Moderate Anxiety,3,4,4,3,2,2,2,2,2,3,27,High Perceived Stress,1,2,2,2,2,1,1,1,1,13,Moderate Depression,FALSE
1696,23-26,Female,DUET,Engineering - CS / CSE / CSC / Similar to CS,Second Year or Equivalent,2.50 - 2.99,No,1,0,0,0,0,1,0,2,Minimal Anxiety,0,0,0,0,3,4,4,3,1,1,16,Moderate Stress,1,0,0,0,0,1,1,0,0,3,Minimal Depression,FALSE
1697,23-26,Male,DUET,Engineering - CS / CSE / CSC / Similar to CS,Fourth Year or Equivalent,3.40 - 3.79,No,2,0,2,3,3,1,2,13,Moderate Anxiety,3,2,2,2,2,2,2,2,2,2,21,Moderate Stress,2,3,2,2,1,3,3,2,2,20,Severe Depression,FALSE
1698,23-26,Male,DUET,Engineering - CS / CSE / CSC / Similar to CS,Second Year or Equivalent,2.50 - 2.99,No,1,1,1,1,0,0,0,4,Minimal Anxiety,0,0,1,0,3,3,3,2,1,1,14,Moderate Stress,1,0,0,2,1,1,1,0,0,6,Mild Depression,FALSE
1699,23-26,Male,AIUB,Engineering - CS / CSE / CSC / Similar to CS,Fourth Year or Equivalent,2.50 - 2.99,No,3,3,3,3,3,3,3,21,Severe Anxiety,4,4,4,4,0,0,2,0,4,2,24,Moderate Stress,2,3,3,3,3,2,3,3,3,25,Severe Depression,FALSE
1700,23-26,Male,DUET,Engineering - CS / CSE / CSC / Similar to CS,Fourth Year or Equivalent,3.80 - 4.00,Yes,0,0,0,0,0,1,0,1,Minimal Anxiety,0,2,0,2,1,2,2,2,2,0,13,Low Stress,1,0,0,0,0,0,0,0,0,1,Minimal Depression,FALSE
1701,18-22,Male,IUB,Business and Entrepreneurship Studies,First Year or Equivalent,Other,Yes,0,0,1,0,1,2,0,4,Minimal Anxiety,0,2,0,0,3,2,3,4,2,1,17,Moderate Stress,0,0,0,1,0,0,1,0,0,2,Minimal Depression,FALSE
1702,18-22,Male,DUET,Engineering - CS / CSE / CSC / Similar to CS,Second Year or Equivalent,3.00 - 3.39,No,1,1,1,2,1,1,1,8,Mild Anxiety,2,2,2,2,1,2,2,2,2,1,18,Moderate Stress,1,1,1,2,1,1,1,1,1,10,Moderate Depression,FALSE
1703,18-22,Female,NSU,Engineering - EEE/ ECE / Similar to EEE,First Year or Equivalent,2.50 - 2.99,No,1,1,1,1,1,1,1,7,Mild Anxiety,0,4,4,4,0,0,1,2,2,2,19,Moderate Stress,3,1,1,1,1,1,1,1,1,11,Moderate Depression,FALSE
1704,18-22,Male,IUT,Engineering - Civil Engineering / Similar to CE,Second Year or Equivalent,3.00 - 3.39,No,2,1,1,2,1,3,3,13,Moderate Anxiety,3,4,4,4,1,4,4,4,2,4,34,High Perceived Stress,0,3,2,2,3,3,2,3,3,21,Severe Depression,FALSE
1705,23-26,Male,DUET,Engineering - CS / CSE / CSC / Similar to CS,Second Year or Equivalent,3.00 - 3.39,No,1,2,2,3,1,1,0,10,Moderate Anxiety,4,2,3,2,1,1,2,1,4,2,22,Moderate Stress,1,2,2,1,1,2,0,1,1,11,Moderate Depression,FALSE
1706,18-22,Male,IUT,Engineering - Mechanical Engineering / Similar to ME,First Year or Equivalent,Other,Yes,2,2,2,1,2,1,1,11,Moderate Anxiety,2,2,2,1,0,1,0,1,3,1,13,Low Stress,3,2,1,1,1,2,2,2,2,16,Moderately Severe Depression,FALSE
1707,18-22,Male,IUT,Engineering - Mechanical Engineering / Similar to ME,First Year or Equivalent,Other,No,3,3,3,3,3,3,3,21,Severe Anxiety,4,4,4,3,3,4,3,4,4,3,36,High Perceived Stress,1,3,2,3,1,3,3,2,1,19,Moderately Severe Depression,FALSE
1708,23-26,Female,DUET,Engineering - CS / CSE / CSC / Similar to CS,Fourth Year or Equivalent,3.00 - 3.39,No,2,0,3,1,1,1,1,9,Mild Anxiety,2,2,2,3,2,1,0,2,2,2,18,Moderate Stress,2,1,0,1,0,1,1,0,1,7,Mild Depression,FALSE
1709,18-22,Male,IUT,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,Other,No,1,3,3,2,3,2,1,15,Severe Anxiety,4,4,2,3,1,2,2,4,2,3,27,High Perceived Stress,0,3,3,3,3,3,3,2,3,23,Severe Depression,FALSE
1710,27-30,Male,IUT,Engineering - Mechanical Engineering / Similar to ME,Other,3.00 - 3.39,Yes,0,0,0,0,0,0,0,0,Minimal Anxiety,0,1,0,0,4,2,2,2,0,0,11,Low Stress,0,0,0,0,0,0,0,0,0,0,No Depression,FALSE
1711,18-22,Male,IUT,Engineering - EEE/ ECE / Similar to EEE,Fourth Year or Equivalent,3.00 - 3.39,No,3,3,3,2,3,3,3,20,Severe Anxiety,4,4,4,4,4,4,3,4,4,4,39,High Perceived Stress,1,3,2,3,2,3,3,0,2,19,Moderately Severe Depression,FALSE
1712,18-22,Male,IUB,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,2.50 - 2.99,No,2,2,2,2,2,2,2,14,Moderate Anxiety,2,2,2,2,2,2,2,2,2,2,20,Moderate Stress,2,2,2,2,2,2,2,2,2,18,Moderately Severe Depression,FALSE
1713,23-26,Male,AIUB,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,Below 2.50,No,1,2,2,1,1,2,1,10,Moderate Anxiety,2,2,2,2,2,3,2,2,2,2,21,Moderate Stress,1,1,1,1,2,2,2,3,2,15,Moderately Severe Depression,FALSE
1714,18-22,Female,IUB,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,Other,No,2,0,0,0,1,1,3,7,Mild Anxiety,0,2,2,0,0,0,2,3,0,0,9,Low Stress,2,0,0,1,0,0,0,0,0,3,Minimal Depression,FALSE
1715,18-22,Female,AIUB,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.00 - 3.39,No,3,3,3,3,3,2,3,20,Severe Anxiety,4,4,4,4,2,2,3,3,4,4,34,High Perceived Stress,2,3,2,3,3,3,3,2,3,24,Severe Depression,FALSE
1716,18-22,Male,AIUB,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.80 - 4.00,No,2,2,2,1,2,2,3,14,Moderate Anxiety,3,2,3,1,1,1,2,2,4,2,21,Moderate Stress,3,3,0,1,1,3,1,2,2,16,Moderately Severe Depression,FALSE
1717,23-26,Male,IUT,Engineering - EEE/ ECE / Similar to EEE,Fourth Year or Equivalent,3.40 - 3.79,No,3,3,3,3,3,3,3,21,Severe Anxiety,4,4,4,4,2,2,3,2,4,4,33,High Perceived Stress,1,2,3,3,2,2,2,2,2,19,Moderately Severe Depression,FALSE
1718,18-22,Male,IUT,Engineering - EEE/ ECE / Similar to EEE,First Year or Equivalent,Other,Yes,2,2,3,2,2,2,1,14,Moderate Anxiety,3,1,3,3,1,1,3,1,1,2,19,Moderate Stress,0,2,2,2,0,1,1,1,0,9,Mild Depression,FALSE
1719,18-22,Male,AIUB,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.00 - 3.39,No,0,3,3,0,0,3,3,12,Moderate Anxiety,0,0,4,4,0,1,1,0,4,4,18,Moderate Stress,0,3,3,3,3,3,3,3,3,24,Severe Depression,FALSE
1720,18-22,Female,IUT,Engineering - Mechanical Engineering / Similar to ME,Third Year or Equivalent,3.40 - 3.79,Yes,2,1,1,1,2,1,3,11,Moderate Anxiety,3,3,3,4,2,2,2,3,1,4,27,High Perceived Stress,3,3,3,3,3,3,0,1,1,20,Severe Depression,FALSE
1721,18-22,Female,AIUB,Engineering - CS / CSE / CSC / Similar to CS,Second Year or Equivalent,3.00 - 3.39,No,1,1,1,1,1,2,1,8,Mild Anxiety,1,2,2,1,4,2,2,2,1,2,19,Moderate Stress,1,1,1,2,0,1,1,1,0,8,Mild Depression,FALSE
1722,18-22,Male,AIUB,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.40 - 3.79,No,1,1,3,2,2,2,3,14,Moderate Anxiety,4,3,4,2,3,2,0,4,4,3,29,High Perceived Stress,2,3,2,2,3,0,0,0,0,12,Moderate Depression,FALSE
1723,18-22,Male,AIUB,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.00 - 3.39,Yes,0,2,2,1,1,1,1,8,Mild Anxiety,2,2,4,2,0,2,2,4,2,2,22,Moderate Stress,1,0,3,3,3,2,1,3,0,16,Moderately Severe Depression,FALSE
1724,23-26,Male,IUB,Engineering - CS / CSE / CSC / Similar to CS,Other,Below 2.50,No,3,0,3,3,2,3,3,17,Severe Anxiety,2,4,4,4,3,0,0,0,2,2,21,Moderate Stress,1,3,3,3,1,3,2,3,3,22,Severe Depression,FALSE
1725,18-22,Male,AIUB,Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.40 - 3.79,No,3,3,3,2,3,3,3,20,Severe Anxiety,3,3,4,3,2,2,3,3,4,3,30,High Perceived Stress,3,3,3,3,3,3,2,3,3,26,Severe Depression,FALSE
1726,18-22,Female,RUET,Engineering - Civil Engineering / Similar to CE,Second Year or Equivalent,2.50 - 2.99,Yes,2,2,2,2,2,2,2,14,Moderate Anxiety,2,2,2,2,2,2,2,2,2,2,20,Moderate Stress,0,0,0,0,0,0,0,0,0,0,No Depression,FALSE
1727,18-22,Male,RUET,Engineering - Civil Engineering / Similar to CE,Second Year or Equivalent,3.00 - 3.39,Yes,3,0,0,3,3,3,3,15,Severe Anxiety,3,3,4,4,2,4,3,4,4,4,35,High Perceived Stress,0,3,2,3,3,3,3,1,1,19,Moderately Severe Depression,FALSE
1728,18-22,Male,RUET,Engineering - Civil Engineering / Similar to CE,Second Year or Equivalent,3.00 - 3.39,No,3,0,1,3,3,0,3,13,Moderate Anxiety,2,2,4,3,2,3,3,3,4,3,29,High Perceived Stress,1,3,0,3,1,3,3,3,0,17,Moderately Severe Depression,FALSE
1729,18-22,Male,RUET,Engineering - Mechanical Engineering / Similar to ME,Second Year or Equivalent,2.50 - 2.99,No,1,1,2,2,1,3,1,11,Moderate Anxiety,2,1,2,0,1,2,1,2,2,1,14,Moderate Stress,1,0,0,2,1,1,0,0,0,5,Mild Depression,FALSE
1730,23-26,Male,DUET,Engineering - EEE/ ECE / Similar to EEE,Fourth Year or Equivalent,3.40 - 3.79,Yes,1,1,2,2,1,1,0,8,Mild Anxiety,1,2,0,2,3,1,2,2,2,2,17,Moderate Stress,2,2,2,2,1,2,1,1,2,15,Moderately Severe Depression,FALSE
